experiment_name,scene_id,initialization,prior_object_id,prior_count,iteration,method,psnr,ssim,lpips,gaussian_count,estimated_elapsed_sec
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,office_0,prior,sofa_0131,4,3000,ours_3000,12.530070304870605,0.5184119939804077,0.39943158626556396,1304064,94.212543
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,office_0,prior,sofa_0131,4,5000,ours_5000,12.878567695617676,0.5561621785163879,0.3678283989429474,1804707,157.020905
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,office_0,prior,sofa_0131,4,7000,ours_7000,12.984031677246094,0.5675541758537292,0.3562575578689575,2055936,219.829267
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,office_0,prior,sofa_0131,4,10000,ours_10000,13.150776863098145,0.5862266421318054,0.3421870768070221,2356176,314.04181
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,office_0,prior,sofa_0131,4,15000,ours_15000,13.37459945678711,0.6099662780761719,0.32556360960006714,2806021,471.062715
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,room_0,prior,lamp_0085,4,0,ours_0,10.103782653808594,0.1566934585571289,0.7155961394309998,203984,0.0
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,room_0,prior,lamp_0085,4,500,ours_500,11.083076477050781,0.3428446054458618,0.5843306183815002,203984,14.750611
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,room_0,prior,lamp_0085,4,1000,ours_1000,11.903162956237793,0.4562210142612457,0.4566575288772583,265413,29.501222
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,room_0,prior,lamp_0085,4,2000,ours_2000,12.637786865234375,0.5521833300590515,0.36462390422821045,811127,59.002444
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,room_0,prior,lamp_0085,4,3000,ours_3000,12.8812255859375,0.5824942588806152,0.33637145161628723,1269863,88.503666
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,room_0,prior,lamp_0085,4,5000,ours_5000,13.186381340026855,0.6146496534347534,0.310443252325058,1711924,147.50611
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,room_0,prior,lamp_0085,4,7000,ours_7000,13.319149017333984,0.6284491419792175,0.3014112710952759,1964087,206.508554
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,room_0,prior,lamp_0085,4,10000,ours_10000,13.489781379699707,0.6445222496986389,0.29003241658210754,2244763,295.01222
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v1_15000,room_0,prior,lamp_0085,4,15000,ours_15000,13.70038890838623,0.6660085320472717,0.2737199366092682,2648537,442.51833
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v2_15000,office_0,prior,sofa_0131,4,0,ours_0,7.869917392730713,0.046994127333164215,0.7734549641609192,197667,0.0
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v2_15000,office_0,prior,sofa_0131,4,500,ours_500,10.699264526367188,0.26574698090553284,0.6551817655563354,197667,15.581088
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v2_15000,office_0,prior,sofa_0131,4,1000,ours_1000,11.605252265930176,0.39995384216308594,0.505268931388855,263367,31.162176
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v2_15000,office_0,prior,sofa_0131,4,2000,ours_2000,12.282410621643066,0.4883861243724823,0.4255930483341217,819691,62.324352
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v2_15000,office_0,prior,sofa_0131,4,3000,ours_3000,12.53812313079834,0.5200521349906921,0.3983862102031708,1298820,93.486527
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v2_15000,office_0,prior,sofa_0131,4,5000,ours_5000,12.813704490661621,0.5502493977546692,0.37026843428611755,1803761,155.810879
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v2_15000,office_0,prior,sofa_0131,4,7000,ours_7000,12.971375465393066,0.5660799145698547,0.35888755321502686,2052778,218.13523
oracle_prior_vanilla_3dgs_multi_clip_alignfix_v2_15000,office_0,prior,sofa_0131,4,10000,ours_10000,13.140559196472168,0.5834454298019409,0.34719905257225037,2343178,311.621758
